ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
ACCIUGHE o ALICI [ENGRAULIS ENCHRASICHOL];75;96;402;76,5;16,8;16;0;1,5;0;1,5;2,6;0,69;0,63;0,88;0,34;0,05;0;0;70;0;0;2,8;148;104;278;196;1,5;0,06;0,26;14;0;0,14;9;32;2;0,29;11
ACCIUGHE o ALICI SOTTO SALE;50;128;536;53,8;25;25;0;0;0;0;3,1;0,82;0,76;1,05;0,4;0,06;0;0;70;0;0;6,9;542;3604;215;481;1,7;0,06;0,26;14;0;0,14;8;55;2;0,29;4
ACCIUGHE o ALICI SOTT'OLIO;100;206;862;56;25,9;25;0;0,2;0;0,2;11,3;2,21;6,17;2,24;5,33;0,8;0,11;1;120;0;0;1,3;44;480;700;351;2,2;0,06;0,2;6,5;0;0,18;8;58;2;0,31;5
ACETO;100;4;17;99;0,4;0;0,4;0,6;0;0,6;0;0;0;0;0;0;0;0;0;0;0;0,5;15;20;89;32;0,6;0;0;0;0;0;0;0;0;0;0
ACQUA;100;0;0;99,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
ACQUA TONICA;100;33;138;91,1;0;0;0;8,8;0;8,8;0;0;0;0;0;0;0;0;0;0;0;2;1;4;0;0;2;0;0;0;0;0;0;0;0;0;0
AGAR AGAR [EUCHEUMA spp], secco;100;16;67;9,7;1,6;0;1,6;2;0;2;1,2;0,24;0,11;0,41;0,04;0,02;2;0;0;81,1;0;20,6;760;110;110;50;14,4;0,01;0,22;0,2;0;2;0;0;0;2;0
AGLIO [ALLIUM SATIVUM], fresco;75;41;172;80;0,9;0;0,9;8,4;0;8,4;0,6;0,11;0,01;0,3;0,01;0,27;0,02;0;0;2,3;0;1,5;14;2;347;63;0,6;0,14;0,02;1,3;5;0,21;3;5;30;0,01;0
AGLIO, in polvere;100;246;1029;6,5;18,7;0;18,7;42,7;38,5;4,2;1,2;0,21;0,03;0,6;0,03;0,55;0,05;0;0;9,9;0;3,9;65;19;1360;220;2,6;0,47;0,12;0,7;0;0,99;0;2;2;0,03;0
AGNELLO [OVIS AGNUS];83;162;678;70,1;20,8;20;0;0;0;0;8,8;4,15;3,25;0,41;3,14;0,2;0,2;0;71;0;0;1,6;7;88;350;190;3,3;0,14;0,28;6;0;0,3;6;2;0;0,09;0
AGNELLO, CARNE GRASSA;100;279;1167;58;18;18;0;0;0;0;23;10,86;8,49;1,07;8,21;0,54;0,54;0;79;0;0;2;10;100;350;200;2;0,1;0,19;3,8;0;0,23;3;12;2;0,07;0
AGNELLO, CARNE MAGRA;100;121;506;73;20;20;0;0;0;0;4,6;2,17;1,7;0,21;1,64;0,11;0,11;0;71;0;0;2;10;100;350;196;3,3;0,1;0,2;4,9;0;0,3;6;6;2;0,09;0
AGNELLO, CARNE SEMIGRASSA;100;211;883;65;19;19;0;0;0;0;15;7,08;5,54;0,7;5,36;0,35;0,35;0;71;0;0;2;10;100;350;200;2,6;0,1;0,19;4;0;0,19;2;10;2;0,07;0
AGNELLO, CORATELLA;100;110;460;77,2;15,7;15;0;1,2;0;1,2;4,7;1,66;1,32;0,56;1,15;0,23;0,11;0;240;0;0;8,8;9;103;290;282;2,8;0,45;2,04;10,3;18;0,36;92;7500;36;0,54;0
AGNELLO, COSTOLETTE;77;386;1615;48,7;14,6;14;0;0;0;0;36,3;17,14;13,4;1,69;12,96;0,85;0,85;0;71;0;0;1,2;7;60;230;130;1,9;0,09;0,16;3,9;0;0,34;11;2;2;0,07;0
AGRETTI [LEPIDUM SATIVUM];97;17;71;92,3;1,8;0;1,8;2,2;0;2,2;0,2;0,01;0,07;0,07;0,02;0,04;0,02;0;0;2,3;0;1,2;131;14;606;34;0,2;0,03;0,19;0,8;24;0,25;80;392;2352;0,7;0
ALBICOCCHE (PRUNUS ARMENIACA);94;28;117;86,3;0,4;0;0,4;6,8;0;6,8;0,1;0,01;0,04;0,02;0,04;0,02;0;0;0;1,5;0;0,5;16;1;320;16;0,1;0,03;0,03;0,5;13;0,08;5;360;2160;0,61;0
ALBICOCCHE, polpa secca;100;188;787;14,7;4,8;0;4,8;43,4;0;43,4;0,7;0,05;0,3;0,14;0,3;0,14;0;0;0;21,6;0;4,1;92;56;1880;120;0,7;2;0,2;3;2;0,17;14;108;645;1,9;0
ALCOOL PURO;100;516;2159;5,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALLORO [LAURUS NOBILIS], secco;100;313;1310;5,4;7,6;0;7,6;48,6;2;48,6;8,4;2,29;1,65;2,3;1,51;1,25;1,05;0;0;26,3;0;43;830;23;530;110;3,7;0,01;0,42;2;0;1;0;618;3710;1,79;0
AMARENE [PRUNUS CERASUS];85;41;172;84,2;0,8;0;0,8;10,2;0;10,2;0;0;0;0;0;0;0;0;0;1,1;0;0,4;15;2;114;17;0,1;0,03;0,05;0,4;7;0,05;9;24;144;0,14;0
AMARI A BASSA GRADAZIONE;100;261;1092;47,5;2;0;2;32,8;0;32,8;0;0;0;0;0;0;0;0;0;0;19;0,1;5;12;34;7;2;2;2;2;0;2;2;2;2;0;0
AMARI AD ALTA GRADAZIONE;100;232;971;66,6;2;0;2;0,5;0;0,5;0;0;0;0;0;0;0;0;0;0;32;2;2;6;3;2;2;2;2;2;0;2;2;2;2;0;0
AMIDO;100;379;1586;9;0,4;0;0,4;100,1;100,1;0;0,2;0,04;0,06;0,1;0,06;0,1;0;0;0;2;0;0,4;13;9;3;11;0,1;0,1;0,02;0,1;0;0,2;2;2;2;0;0
ANANAS [ANANAS SATIVUS];57;40;167;86,4;0,5;0;0,5;10;0;10;0;0;0;0;0;0;0;0;0;1;0;0,5;17;2;250;8;0,1;0,05;0,01;0,2;17;0,09;5;7;42;0,1;0
ANANAS SCIROPPATA;100;77;322;77;0,3;0;0,3;20,2;0;20,2;2;0;0;0;0;0;0;0;0;0,9;0;0,4;13;1;94;5;0,1;0,05;0,02;0,2;12;0,09;1;7;40;0,08;0
ANATRA [ANAS BOSCHAS];80;159;665;68,8;21,4;21;0;0;0;0;8,2;2,29;4,18;1,23;3,79;1,1;0,13;0;110;0;0;1,3;12;110;290;200;1,9;0,19;0,18;7,7;0;0,34;25;80;2;0,02;0
ANGUILLA DI FIUME [ANGUILLA ANGUILLA];71;261;1092;61,5;11,8;11;0;0,1;0;0,1;23,7;4,79;14,61;1,92;5,63;0,4;0,88;0;117;0;0;1;31;65;217;218;3,4;0,15;0,2;3,5;2;0,34;16;1200;2;5,55;6
